id,タイトル,説明文,価格,収容人数,住所,評価,サムネイル写真のURL
1,072【スペレンParty新宿】期間限定500円～《直前割10％OFF》東新宿駅から徒歩2分★最大7名 デート/24時間/朝まで,"■ 収容人数
・最大：7名
・最適：2～4名


■マンション設備
・エレベーター 完備
・ゴミステーション 完備


■ パーティグッズ
・トランプ等ボードゲーム各種

■ エンタメ
・DVD/Blueray レコーダー
・たこ焼き機
・チーズ & チョコフォンデュ
・カセットコンロ
・Nintendo64　（コントローラ×4）

■ 室内設備
・テレビ
・ソファ
・テーブル
・キッチン


■ 備品
・HDMIケーブル
・iPhone充電器
・Mac用HDMI接続コネクタ
・ブランケット

■ 食器
・中皿×8
・小皿×８
・サラダボール
・カトラリー（ナイフ、フォーク、スプーンのセット）×各8
・箸×8

■ ドリンク
・マグカップ×8
・グラス×8
・ワイングラス×8
・栓抜き・コルク抜き

■ 調理器具
・包丁
・まな板×２
・キッチンバサミ
・おたま
・ピーラー
・トング
・菜箸
・ザル、ボール

・フライパン
・フライ返し
・片手鍋
・土鍋

・計量カップ
・計量スプーン
・鍋敷き
・ミトン


■ 調理家電
・冷蔵庫
・電子レンジ
・湯沸かしケトル

■ 調味料
・砂糖
・塩
・こしょう
・醤油
・油


※当スペースは防犯を目的として防犯カメラを設置しておりますので予めご了承ください続きを読む","￥500～￥3,000/時間",〜7人,東京都新宿区歌舞伎町2丁目（住所や入室方法詳細は、予約完了後にメッセージにてご連絡します）,4.43,https://cdnspacemarket.com/uploads/attachments/425700/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
2,029【シェアスペTROPICAL新宿】駅からすぐ✨ 宅飲/合コン/女子会/誕生日/ママ会/飲み会/撮影/会議【海の日SALE】,"【スペース概要】
イベントルーム（18平米）・キッチン・バス・トイレ

【設備・備品】
・机：4名掛けテーブル 1台
・ゴロゴロマットレス 2台
・フロアクッション：3個
・チェア 2台
・テレビ
・ニンテンドークラシックミニ
・Blu-ray&DVDプレイヤー
・プロジェクター
・たこ焼き機
・ホットプレート
・黒ひげ危機一髪
・オセロ
・ジェンガ
・UNO
・トランプ
・人生ゲーム
・エアホッケー
・イライラパニック

【キッチン備品】 
《加熱調理設備》
◯２口ガスコンロ
◯電子レンジ
◯タコ焼き機
◯ホットプレート
◯ケトル
◯冷蔵庫

《調理器具》
◯フライパン
◯鍋
◯まな板
◯包丁
◯ボウル

《食器類》
中皿、お椀、グラス、シャンパングラス、ナイフ・フォーク・スプーン、箸

〜ビジネス・会議スペース概要〜
【収容人数】
・着席人数：8名
・シアター形式着席(机1台)：8名
・セミナー形式着席(机1台)：8名

【設備・備品】
・机：４名掛けテーブル 1台
・ホワイトボード有り
・プロジェクター有り続きを読む","￥980～￥2,780/時間",〜10人,東京都新宿区新宿以降は予約確定後にお伝えします,4.45,https://cdnspacemarket.com/uploads/attachments/368345/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
3,⭐直前割30%OFF⭐新宿三丁目駅・新宿御苑駅から5分✨キレイ清潔✨50型TVのある本格キッチン付スペース,"【設備関連】
ホワイトボード/Wi-Fi/トイレ/テレビ視聴可能＊地デジのみ/DVD/Blue-ray再生可、テレビのPC接続可＊HDMI端子接続/音響あり＊音源にジャックを刺して出力/テーブル7台/椅子29脚/ソファー1脚/冷蔵庫・冷凍庫（業務用）/ガスコンロ3口/電気ケトル/ホットプレート2台（たこ焼きプレート、平たいプレートあり）＊利用無料/オーブンレンジ（HITACHI製MRO-SF6）/まな板（３枚）/包丁（３本）/ボール2個（ステンレス）/ザル2個（ステンレス）/子供用プラスチック製コップ5個/フォーク・ナイフ・スプーン5本ずつ/取り皿5枚/カトラリーセット（お箸25膳、ナイフ・フォーク・スプーン25本ずつ）/グラスコップ30個/ワイングラス20個/スプーン(小)20本/菜箸２膳/調味料（砂糖・塩・醤油・酢）/トング/フライ返し/キッチンペーパー/ゴミ箱2個/炊飯器２個/製氷機

①ボウル25個（直径18cm・深さ8cm）②円形大皿5個（直径32cm）③正方形大皿12個（1辺23cm）④円形中皿13個（直径20cm）⑤正方形中皿9個（1辺18cm）⑥茶碗22個（直径12cm深さ5.5cm）⑦取り皿・深25個（直径11cm深さ5cm）⑧取り皿・薄29個（直径10.5cm深さ2cm）

両手鍋φ24d15
両手鍋φ24d11
片手鍋φ20d10.5
片手鍋φ24d9
フライパンφ29d5.5
フライパンφ24d5　2つ※蓋あり

【収容人数】
着席：24名　立食：30名
※上限以上の人数になる場合は事前にご相談ください。

【禁止事項】
スペース内での喫煙行為
スペースの汚損、破損行為
当日出たゴミを無断で置いて帰ること

【入室方法】
スタッフの立ち会いはございません
鍵はキーボックスでの受け渡しになります続きを読む","￥2,980～￥5,480/時間, ￥49,800～￥79,800/日",〜35人,東京都新宿区新宿1-34-9ヒロビルディング２　Ｂ１Ｆ,4.62,https://cdnspacemarket.com/uploads/drawings/1093/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
4,105【スペレンParty東新宿】感謝499円～🌈最大8名/人をダメにするソファ/女子会/ゴミ捨て無料/お風呂/撮影,"■ 収容人数
・最大：8名
・最適：2～6名


■マンション設備
・エレベーターあり
・ゴミ捨て場あり（無料！）


■ 室内設備
・50型テレビ
・ゴロゴロスペース
・テーブル
・キッチン無料♪
・ホットプレート・たこ焼き器

■ 備品
・iPhone充電器
・android充電器
・ブランケット

■ 食器
・中皿
・小皿
・サラダボール
・カトラリー（ナイフ、フォーク、スプーンのセット）
・箸

■ ドリンク
・マグカップ
・グラス

■ 調理器具
・包丁
・まな板
・おたま
・ピーラー
・トング
・菜箸
・ザル、ボール

・フライパン
・フライ返し

・計量カップ
・計量スプーン


■ 調理家電
・冷蔵庫
・湯沸かしケトル
・電子レンジ

■ パーティグッズ
・ボードゲーム各種

※ 当スペースは防犯を目的として防犯カメラを設置しておりますので予めご了承ください続きを読む","￥499～￥1,999/時間",〜8人,東京都新宿区歌舞伎町2丁目（建物名、部屋番号、入室方法等の詳細は予約確定後メッセージにてお知らせいたします。ご利用日当日は必ずスペースマーケットにログイン出来るようにして下さい）,4.54,https://cdnspacemarket.com/uploads/attachments/357042/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
5,夏特割⭐60%OFF【TAMARIBA新宿】55型TV✨流しそうめん/誕生会/人気ボドゲ/キッチン/ドンキすぐ/24hごみ置き有,"㊗OPEN記念✨設備・サービスは期間限定ですべて無料です！ 
通常は有料のたこ焼き器やゲームもご自由にお使いいただけます🎶

◇リビングルーム
55型 大型テレビ
アナログレコードプレイヤー
DVD/BDプレイヤー　
PSP プレイステーション・ポータブル
ゴロゴロスペース(セミダブル2台分)
ダイニングテーブル＆スツール
ローテーブル
エアコン
フロアスタンドライト
スマホ充電器(iPhone & Android)
大きい毛布1枚＆大判ブランケット10枚
ハンガー
HYGIA 除菌・消臭スプレー

◇キッチン
グリル付き2口ガスコンロ
冷凍庫付き冷蔵庫
電子レンジ
電気ケトル
タイガー大型ホットプレート＆たこ焼き
BRUNO流しそうめん
大型両手鍋(お鍋用）
フライパン
OXO サラダスピナー 野菜水切り器
カセットコンロ(カセットガスはご持参ください)
包丁2本
まな板2枚
キッチンはさみ
ボウル & ざる
ritter ピーラー
ワインオープナー
おろし器
たこ焼きピック
栓抜き & 缶切り
計量カップ
T-fal キッチンツールセット
(フライ返し おたま トング 泡だて器)

◇食器(各12名様分）
平皿
お椀 & スープマグカップ
グラス
ワイン & ビアグラス
お箸
スプーン & フォーク

◇ボードゲーム＆カードゲーム
・ワンナイト人狼
・カタン スタンダード版
・モノポリー クラシック
・ラミィキューブ
・パンデミック 新たなる試練
・クク21
・ブロックス
・UNO

◎24hゴミステーション有！
当マンションの1階には24時間利用可能なゴミ捨て場があります。廃棄する際は分別が必要です。(ビン・カン・ペットボトル・燃えるゴミ)続きを読む","￥777～￥3,980/時間",〜12人,東京都新宿区歌舞伎町2丁目42−13詳細はご予約確定後にお知らせいたします,4.68,https://cdnspacemarket.com/uploads/drawings/1072/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
6,106【スペレンParty東新宿】◆直前割最大50%OFF◆東新宿駅徒歩2分/ゴミ捨て無料!!最大8名/24時間/シャワー," 収容人数
最大：8名
最適：2～5名

■ 室内設備
・50インチTV
・ごろごろベッド
・キッチン
・テーブル

■ 備品
android充電器
iPhone充電器
空気清浄機

■ 食器類
中皿・小皿　各4枚
カップ・グラス　各4個
ワイングラス　4個
スプーン・フォーク・はし

■ 調理器具
おたま、トング、フライ返し
包丁、フライパン、鍋、土鍋
ピーラー
キッチンはさみ
コルク抜き、缶切り


■調理家電
・冷蔵庫
・電子レンジ
・電気ケトル


■ パーティグッズ
・トランプ等ボードゲーム各種

■レンタル品（有料）
・たこ焼き機
・ホットプレート
・チーズ & チョコフォンデュ
・カセットコンロ
・Blu-rayプレーヤー

■マンション設備
・エレベーター 有り
・ゴミステーション 有り
⇒ マンションにゴミ捨て場があるので、ゴミを自宅まで持ち帰らなくてOK！
とっても楽です！（ゴミをお部屋に放置しないで下さい！必ずゴミ捨て場に捨ててお帰り下さい）

※ 当スペースは防犯を目的として防犯カメラを設置しておりますので予めご了承ください
※建物内は、共用部含め全面禁煙となっております。続きを読む","￥500～￥2,500/時間",〜8人,東京都新宿区歌舞伎町2-19-12 レジデンシャルステージ（住所や入室方法詳細は、予約完了後にメッセージにてご連絡します）,4.41,https://cdnspacemarket.com/uploads/attachments/444142/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
7,044【シェアスペSTAR新宿】✨歌舞伎町の好立地＆Wi-Fi無料✨お洒落なパーティ/スタジオ【海の日SALE】,"【スペース概要】
イベントルーム（20平米）・キッチン・バス・トイレ

【収容人数】
・着席最大：８名　最適：６名
・立席最大：８名　最小：６名

【設備・備品】
・机：４名掛けテーブル １台
・フロアクッション：4個
・ゴロゴロマットレス１台
・テレビ
・WIFI
・DVD&Blu-rayプレイヤー
・プロジェクター
・任天堂クラシックミニ
・たこ焼き機
・ホットプレート
・黒ひげ危機一髪
・オセロ
・ジェンガ
・UNO
・トランプ
・ストライクエアホッケー
・人生ゲーム

【キッチン備品】 
《加熱調理設備》
◯１口ガスコンロ
◯電子レンジ
◯タコ焼き機
◯ホットプレート
◯電子ケトル


《調理器具》
◯フライパン
◯まな板
◯包丁
◯ボウル
◯鍋
○キッチンバサミ
○ピーラー
○計量カップ
○計量スプーン

《食器類》
大皿2枚、中皿8枚、お椀8個、ワイングラス×8、シャンパングラス×8、コップ×8、ナイフ・フォーク・スプーン、箸×8個、

【周辺情報】

コンビニ　徒歩１分（２０m）
スーパー・ドラッグストア　徒歩０分
（１Fがドラッグストア）
肉のハナマサ　徒歩１分
ドン・キホーテ　徒歩２分
コインパーキング　徒歩１分
（周辺に多数あり）


〜ビジネス・会議スペース概要〜

【設備・備品】
・机：４名掛けテーブル １台
・ホワイトボード有り
・プロジェクター有り続きを読む","￥500～￥2,480/時間",〜8人,東京都新宿区歌舞伎町以降は予約確定後にお伝えします,4.82,https://cdnspacemarket.com/uploads/attachments/383869/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
8,067【シェアスペ新宿】駅からすぐ✨大人数でパーティーできます✨インスタ映え/女子会/ママ会【海の日SALE】,"【スペース概要】
イベントルーム（40平米）・キッチン

【収容人数】
・着席最大：20名　最適：15名

【設備・備品】
・机：４名掛けテーブル １台
・机：カウンター丸テーブル ３台
・ゴロゴロマットレス ２台
・椅子 ６台
・ソファ　１台
・フロアクッション ８個
・テレビ
・DVDプレイヤー(Blu-ray対応)
・プロジェクター
・たこ焼き器＆ホットプレート
・ホワイトボード
・トランプ
・オセロ
・UNO
・ジェンガ
・人生ゲーム
・黒ひげ危機一髪
・エアホッケー
・ニンテンドークラシックミニ

【キッチン設備】
・冷蔵庫
・電子レンジ
・ケトル
・炊飯器
・IHコンロ
・トースター

《調理器具》
・フライパン
・片手鍋
・包丁
・深ざる
・ボウル
・バット
・計量カップ
・計量スプーン

《食器類》
大皿×１８、お椀×１８、グラス×１８、ワイングラス×１２、シャンパングラス×１２、ナイフ・フォーク・スプーン×１８、箸×１２

【周辺情報】

コンビニ　徒歩１分（２０m）
スーパー・ドラッグストア　徒歩２分
肉のハナマサ　徒歩１分
ドン・キホーテ　徒歩２分
コインパーキング　徒歩１分
（周辺に多数あり）


〜ビジネス・会議スペース概要〜
【収容人数】
・着席人数：２０名

【設備・備品】
・机：４名掛けテーブル １台
・机：カウンター丸テーブル １台
・ホワイトボード有り
・プロジェクター有り続きを読む","￥980～￥3,080/時間",〜20人,東京都新宿区大久保 以降は予約確定後お伝えします。,4.35,https://cdnspacemarket.com/uploads/attachments/396209/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
9,033【Cafe Style新宿】直前割10%オフ⭐オシャレ清潔✨東新宿駅3分/キッチン/調味料/誕生会/タコパ/24hごみ置有,"期間限定で無料⭐たこ焼き器や任天堂ジャンプファミコンやプロジェクターなどのOPを無料でご提供中！※浴室利用除く
基本の調味料(食用油、醤油、塩、砂糖)あります！

【スペース概要】
イベントルーム（24平米）・キッチン・バス・トイレ

【収容人数】
・着席最大：８名　最適：６名
・立席最大：８名　最小：８名

【設備・備品】
・机：４名掛けテーブル １台
・フロアクッション：2個
・クッションチェア：4台
・テレビ
・DVD&Blu-rayプレイヤー
・プロジェクター
・任天堂クラシックミニ
・たこ焼き機
・ホットプレート
・黒ひげ危機一髪
・ブロックス
・オセロ
・ジェンガ
・UNO
・トランプ
・人生ゲーム
・ストライクエアホッケー
・罰ゲームトランプ
・パターゴルフ

【キッチン備品】 
《加熱調理設備》
◯１口ガスコンロ
◯電子レンジ
◯タコ焼き機
◯ホットプレート
◯電子ケトル

《調理器具》
◯フライパン
◯まな板
◯包丁
◯ボウル
◯片手鍋
○キッチンバサミ
○ピーラー
○計量カップ
○計量スプーン

《食器類》
大皿10枚、中皿10枚、コップ10個、グラス×12、ナイフ・フォーク・スプーン、箸×10個、アイスペール、トング、アイスピック、マドラー、栓抜き

【周辺情報】

コンビニ　徒歩１分（２０m）
スーパー・ドラッグストア　徒歩０分
（１Fがドラッグストア）
肉のハナマサ　徒歩１分
ドン・キホーテ　徒歩２分
コインパーキング　徒歩１分
（周辺に多数あり）


〜ビジネス・会議スペース概要〜
【収容人数】
・着席人数：８名
・シアター形式着席(机４台)：８名
・セミナー形式着席(机４台)：８名
・ロの字型着席：８名

【設備・備品】
・机：４名掛けテーブル １台
・ホワイトボード有り
・プロジェクター有り続きを読む","￥777～￥2,680/時間",〜8人,東京都新宿区歌舞伎町以降は予約確定後にお伝えします,4.5,https://cdnspacemarket.com/uploads/attachments/371346/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
10,直前割20%プラン有り！新宿徒歩圏一戸建を丸々貸出♪朝までプランあり！流しそうめん器完備⭐西新宿5丁目4分♪庭付一軒家９０㎡,"🆕BRUNO流しそうめん器を追加しました♪

LOW HEAT(プルーム・テック)　※ご利用の際はオプションよりご選択ください。
【設備・備品】
※備品は変更する場合があります。
・エアコン3台  冷暖房完備
・机：座卓2台・円卓3台・掘りごたつ１台・こたつ１台・昇降式テーブル1台
・こたつ布団
・椅子：4脚・カリモクソファ1台・ベンチ3台（畳ベンチ・木のベンチ・ソファベンチ）
・プロジェクター、スクリーン（有料）
・Wi-Fi
・座布団：20枚
・ホワイトボード2台
・鏡（立て掛け）
・置き時計×2
・ハンガー20本
【キッチン備品】（無料） 
・冷蔵庫・冷凍庫
・電子レンジ（オーブン機能付）
・電気ケトル
・ラップ・アルミホイル
・食器洗剤
・スポンジ
・ハンドソープ

【調理器具】（有料）
・まな板 、包丁
・フライパン・鍋・蓋
・ボウル・ざる
・キッチンツール（菜箸・キッチンばさみ・皮むき器・ターナー・おたま・泡立て器）
・土鍋
・カセットコンロ（ガスボンベ含む）
・炊飯器
・卓上IHクッキングヒーター
・炊飯器
《調味料》（無料ですが無くなってしまった場合、ご容赦ください。）
塩コショウ・塩・醤油、サラダ油・マヨネーズ・みりん・酒・七味・ゆずポン酢・わさび・からし・にんにく・しょうが・柚子胡椒・ソース・ケチャップ・オリーブオイル・ごま油・砂糖（画像をご確認下さい。）

《食器類》（無料）
茶碗、お椀、大皿、中皿、小皿、おたま、へら、とんすい・ビールジョッキ・コーヒーカップ、グラス、ナイフ・フォーク・箸など（画像をご確認下さい。）

遊び道具（有料）
麻雀牌・マット
浴室利用も可能です（有料）

※ペットについては室内に入れず、玄関先まででお願いします。
頭数については2匹までとさせて頂きます。必ず事前にご連絡下さい。
続きを読む","￥2,500～￥7,500/時間, ￥17,500～￥56,250/日",〜35人,東京都新宿区西新宿4-17-6,4.89,https://cdnspacemarket.com/uploads/drawings/76/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
11,020【シェアスペorange新宿】✨最新ゲーム&ソフト有✨Wi-Fi有＆会議＆仮眠&パーティ【海の日SALE】,"【スペース概要】
イベントルーム（22.97平米）・キッチン・バス・トイレ

【収容人数】
・着席最大：８名　最適：６名
・立席最大：１０名　最小：８名

【設備・備品】
・机：４名掛けテーブル １台
・フロアクッション：3個
・クッションチェア：２台
・テレビ
・ニンテンドーSwitch
・Blu-ray&DVDプレイヤー
・プロジェクター
・たこ焼き機
・ホットプレート
・黒ひげ危機一髪
・オセロ
・ジェンガ
・UNO
・トランプ
・人生ゲーム
・ストライクエアホッケー
・罰ゲームトランプ
・イライラパニックゲーム

【キッチン備品】 
《加熱調理設備》
◯１口ガスコンロ
◯電子レンジ
◯タコ焼き機
◯ホットプレート
◯ポット

《調理器具》
◯フライパン
◯まな板
◯包丁
◯ボウル
◯鍋

《食器類》
大皿、中皿、茶碗、マグカップ×４、グラス×４、ワイングラス×８、ナイフ・フォーク・スプーン、箸

【周辺情報】

コンビニ　徒歩１分（２０m）
スーパー・ドラッグストア　徒歩０分
（１Fがドラッグストア）
肉のハナマサ　徒歩１分
ドン・キホーテ　徒歩２分
コインパーキング　徒歩１分
（周辺に多数あり）


〜ビジネス・会議スペース概要〜
【収容人数】
・着席人数：８名
・シアター形式着席(机４台)：８名
・セミナー形式着席(机４台)：８名
・ロの字型着席：８名

【設備・備品】
・机：４名掛けテーブル １台
・ホワイトボード有り続きを読む","￥790～￥2,700/時間",〜8人,東京都新宿区歌舞伎町2-19-12,4.58,https://cdnspacemarket.com/uploads/attachments/360861/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
12,091【シェアスペcolorful新宿】駅近✨大人数でまったり✨最大16名✨最新ゲーム機/WiFi/撮影/女子会【海日SALE】,"【スペース概要】
イベントルーム（32平米）・キッチン・バス・トイレ

【収容人数】
・着席最大：16名　最適：12名+お子様２人
・立席最大：16名　最小：12名+お子様２人

【設備・備品】
・机：2名掛けテーブル ４台
・フロアクッション：５個
・収納付きスツール：2台
・２名掛け用ソファ：３台（ゴロゴロマットレスにもなります）
・テレビ
・DVD&Blu-rayプレイヤー
・プロジェクター
・ニンテンドーSwitch（joyコン×１、2人プレーまで可能）
・任天堂クラシックミニ
・たこ焼き機
・ホットプレート
・黒ひげ危機一髪
・ブロックス
・オセロ
・ジェンガ
・UNO
・トランプ
・人生ゲーム
・ストライクエアホッケー
・罰ゲームトランプ

【キッチン備品】 
《加熱調理設備》
◯１口IHコンロ
◯電子レンジ
◯タコ焼き機
◯ホットプレート
◯電子ケトル
○炊飯器
○オーブントースター

《調理器具》
◯フライパン
◯まな板
◯包丁
◯ボウル
◯深ざる
○バット
○計量カップ
○計量スプーン
○もんじゃへら
○たこ焼きピッグ
○泡立て器
○ワインクーラー
○アイスペール
○マドラー
○ワインオープナー

《食器類》
大皿8枚、中皿枚、コップ10個、グラス×12、ナイフ・フォーク・スプーン、箸×10個

【周辺情報】

コンビニ　徒歩１分（２０m）
スーパー・ドラッグストア　徒歩０分
（１Fがドラッグストア）
肉のハナマサ　徒歩１分
ドン・キホーテ　徒歩２分
コインパーキング　徒歩１分
（周辺に多数あり）


〜ビジネス・会議スペース概要〜
【収容人数】
・着席人数：16名

【設備・備品】
・机：2名掛けテーブル 4台
・ホワイトボード有り
・プロジェクター有り続きを読む","￥1,240～￥3,380/時間",〜16人,東京都新宿区歌舞伎町2丁目以降は予約確定時にお伝えします,4.38,https://cdnspacemarket.com/uploads/attachments/422218/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
13,053【ここちスペース】✨東新宿3分✨本棚壁紙✨女子会/撮影✨Wi-Fi★キッチン★ゲーム★パーティグッズ★ドンキすぐ✨,"【スペース概要】
イベントルーム（22.97平米）・キッチン・バス・トイレ

【収容人数】
・着席最大：８名　最適：６名（確実に８人座れる空間をご用意しました）
・立席最大：８名　最小：６名

【設備・備品】
・机：８名掛けテーブル １台（二つ組み合わせて）
・フロアクッション：６個
・撮影用クッション多数（スツール内部に収納）
・二人掛けスツール１台
・ゴロゴロマットレス１台
・テレビ
・DVD&Blu-rayプレイヤー
・大型スクリーン（窓側上部）
・プロジェクター
・任天堂クラシックミニ
・たこ焼き機
・ホットプレート
・黒ひげ危機一髪
・オセロ
・ジェンガ
・UNOアタック
・トランプ
・ストライクエアホッケー
・人生ゲーム
・ブロックス
・Wi-Fi無線ルーター
・パーティグッズ
・撮影用小物（映えるプレゼント袋、イルミネーション、自撮り棒）

【キッチン備品】 
《加熱調理設備》
◯１口ガスコンロ
◯電子レンジ
◯タコ焼き機
◯ホットプレート
◯電子ケトル
○オーブントースター
○一口IHコンロ

《調理器具》
◯フライパン
◯まな板
◯包丁
◯ボウル
◯片手鍋
○キッチンバサミ
○ピーラー
○計量カップ
○計量スプーン

《食器類》
中皿18枚、お椀18個、ワイングラス×12、シャンパングラス×12、コップ×18、ナイフ・フォーク・スプーン、18個、お箸14膳

【周辺情報】
コンビニ　徒歩１分（２０m）
スーパー・ドラッグストア　徒歩０分
（１Fがドラッグストア）
肉のハナマサ　徒歩１分
ドン・キホーテ　徒歩２分
コインパーキング　徒歩１分
（周辺に多数あり）


～ビジネス・会議スペース概要～
【設備・備品】
・机：８名掛けテーブル １台
・ホワイトボード有り
・プロジェクター有り
・大型スクリーン有り
・Wi-Fi無線ルーター有り　Wi-Fi無料。続きを読む","￥550～￥2,500/時間",〜8人,東京都新宿区歌舞伎町(正確な住所はメールでお送りします。上記地図は付近の地図),4.57,https://cdnspacemarket.com/uploads/drawings/615/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
14,070【シェアスペthree stars新宿】駅徒歩3分のお洒落な広々スペース✨#インスタ映え#女子会#ママ会【海の日SALE】,"【スペース概要】
イベントルーム（53平米）・キッチン・トイレ

【収容人数】
・着席最大：20名　最適：16名　お子様4名
・立席最大：25名　最小：20名　お子様4名

【設備・備品】
・机：４名掛けテーブル：２台
・椅子：１台
・フロアクッション：２台
・ソファ：２台
・こたつ付きマットレス：１台
・ゴロゴロマットレス：１台
・DVDプレイヤー(Blu-ray対応)
・プロジェクター
・たこ焼き器＆ホットプレート,
・ホワイトボード
・トランプ
・オセロ
・UNO
・ジェンガ
・人生ゲーム
・黒ひげ危機一髪
・エアホッケー
・ニンテンドークラシックミニ

【キッチン備品】 
・冷蔵庫
・電子レンジ
・ケトル
・ガスコンロ
・IHコンロ
・トースター
・土鍋

《調理器具》
・フライパン
・両手鍋
・まな板
・包丁
・深ざる
・ボウル
・バット
・計量カップ
・計量スプーン
・土鍋&IHコンロ

《食器類》
中皿18枚、お椀18個、ワイングラス×16、シャンパングラス×16、コップ×18、ナイフ・フォーク・スプーン、18個、お箸16膳

【周辺情報】
コンビニ：徒歩1分
ドン・キホーテ：徒歩3分
飲食店多数


〜ビジネス・会議スペース概要〜

【設備・備品】
・机：４名掛けテーブル ２台
・ホワイトボード有り
・プロジェクター有り続きを読む","￥1,390～￥3,580/時間",〜25人,東京都新宿区歌舞伎町以降の住所は予約確定後お伝えいたします。,4.25,https://cdnspacemarket.com/uploads/attachments/405542/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
15,094【新宿】直前割有り✨広々スペース☆大人数OK♪宅飲/女子会/撮影/スタジオ【海の日SALE】,"【スペース概要】
イベントルーム（60平米）トイレ・バス

【収容人数】
・着席最大：20名　最適：15名

【設備・備品】
・机：４名掛けテーブル 3台
・ゴロゴロマットレス：１台
・ソファ：１台
・椅子：10脚
・テレビ
・DVDプレイヤー(Blu-ray対応)
・プロジェクター
・たこ焼き器＆ホットプレート
・ホワイトボード
・トランプ
・オセロ
・UNO
・ジェンガ
・人生ゲーム
・黒ひげ危機一髪
・エアホッケー
・ニンテンドークラシックミニ

【家電設備】
・冷蔵庫
・電子レンジ
・ケトル
・炊飯器
・ガスコンロ
・トースター
・土鍋＆IHコンロ

【調理器具】
・フライパン２個
・片手鍋
・まな板
・包丁
・深ざる
・ボウル
・バット
・計量カップ
・計量スプーン

【周辺情報】
コンビニ徒歩2分
コインパーキング（周辺に多数あり）

〜ビジネス・会議スペース概要〜
【収容人数】
・着席人数： 20名

【設備・備品】
・机：４名掛けテーブル ３台
・ホワイトボード有り
・プロジェクター有り続きを読む","￥1,240～￥3,380/時間",〜20人,東京都新宿区新宿6丁目以降の住所はご予約確定後お伝えいたします。,4.74,https://cdnspacemarket.com/uploads/attachments/425577/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
16,052【シェアスペMarin新宿】駅近✨マリンスタイル✨飲み会/ロケ撮影/スタジオ/デート【海の日SALE】,"【スペース概要】
イベントルーム（24.1平米）・キッチン・バス・トイレ

【収容人数】
・着席最大：８名　最適：６名
・立席最大：８名　最小：６名

【設備・備品】
・机：４名掛けテーブル １台
・フロアクッション：3個
・ゴロゴロマットレス１台
・テレビ
・DVD&Blu-rayプレイヤー
・プロジェクター
・任天堂クラシックミニ
・たこ焼き機
・ホットプレート
・黒ひげ危機一髪
・オセロ
・ジェンガ
・UNO
・トランプ
・ストライクエアホッケー
・人生ゲーム

【キッチン備品】 
《加熱調理設備》
◯１口ガスコンロ
◯電子レンジ
◯タコ焼き機
◯ホットプレート
◯電子ケトル

《調理器具》
・フライパン
・まな板
・包丁
・深ざる
・ボウル
・バット
・計量カップ
・計量スプーン

《食器類》
中皿12枚、お椀12個、グラス×12、ワイングラス×8、シャンパングラス×8、ナイフ・フォーク・スプーン×12

【周辺情報】

コンビニ　徒歩１分（２０m）
スーパー・ドラッグストア　徒歩０分
（１Fがドラッグストア）
肉のハナマサ　徒歩１分
ドン・キホーテ　徒歩２分
コインパーキング　徒歩１分
（周辺に多数あり）


〜ビジネス・会議スペース概要〜

【設備・備品】
・机：４名掛けテーブル １台
・ホワイトボード有り
・プロジェクター有り続きを読む","￥500～￥2,780/時間",〜8人,東京都新宿区歌舞伎町以降はメッセージでお伝えします,4.46,https://cdnspacemarket.com/uploads/attachments/387920/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
